HCODE,DOCTYP,TAKER,DST,TRIA,DIRORG,DECAL,DSUNT,NOTES,SEDAT,EXTP,DEPN,COMIT,DSIZE,PORCS,DAREA
0950773A,差異分析報告,張同婉,屏東縣,-,經濟部,,,,,審核修正通過,經濟部加工出口區管理處,0951012,0,辦理結案,0
0950764A,差異分析報告,張同婉,屏東縣,-,經濟部,,,,,審核修正通過,經濟部加工出口區管理處,0951012,0,辦理結案,0
0950751A,差異分析報告,張同婉,屏東縣,-,經濟部,,,,,審核修正通過,經濟部加工出口區管理處,0951012,0,辦理結案,0
0950741A,差異分析報告,張同婉,屏東縣,-,經濟部,,,,,審核修正通過,經濟部加工出口區管理處,0951012,0,辦理結案,0
0950734A,差異分析報告,張同婉,屏東縣,-,經濟部,,,,,審核修正通過,經濟部加工出口區管理處,0951012,0,辦理結案,0
0950724A,差異分析報告,張同婉,屏東縣,-,經濟部,,,,,審核修正通過,經濟部加工出口區管理處,0951012,0,辦理結案,0
0950713A,說明書,何文淵,臺中市,0960731,經濟部,核能及其他能源之開發,公頃,,0951127,有條件通過環境影響評估,龍風電力股份有限公司籌備處,0961001,43,辦理結案,80
0950707A,變更內容對照表,張瑞芸,高雄市,0950922,經濟部,,,,,審核修正通過,中國石油股份有限公司,0951012,,辦理結案,
0950691A,差異分析報告,張瑞芸,臺灣地區,0970303,交通部,,,本書件為初稿本,,其他,交通部臺灣區國道新建工程局,0970425,,辦理結案,
0950684A,差異分析報告,張瑞芸,臺灣地區,0970303,交通部,,,本書件為初稿本,,其他,交通部臺灣區國道新建工程局,0970425,,辦理結案,
0950673A,變更內容對照表,呂雅雯,花蓮縣,0951218,經濟部國營會,,,,,審核修正通過,臺灣電力股份有限公司,0951228,,辦理結案,
0950663A,變更內容對照表,呂雅雯,花蓮縣,0951218,經濟部國營會,,,,,審核修正通過,臺灣電力股份有限公司,0951228,,辦理結案,
0950651A,差異分析報告,何文淵,高雄市,0960319,交通部,,,96年5月22日環署綜字第0960037048號函同意撤案,,其他,交通部公路總局第三區工程處,-,,辦理結案,
0950644A,差異分析報告,呂雅雯,臺南市,0950605,教育部,,,,,審核修正通過,立德大學,0951012,0,辦理結案,0
0950624A,差異分析報告,呂雅雯,臺南市,0950605,教育部,,,,,審核修正通過,立德大學,0951012,0,辦理結案,0
0950613A,差異分析報告,孫維謙,桃園縣,0951208,經濟部能源局,,,,,審核修正通過,長生電力股份有限公司,0960719,,辦理結案,
0950604A,變更內容對照表,何文淵,新竹市,0970102,內政部營建署,,,,,審核修正通過,新竹市政府,0970122,,辦理結案,
0950573A,說明書,何文淵,新北市,0960430,經濟部,高樓建築,公尺,,0951109,有條件通過環境影響評估,台灣電力股份有限公司,0961129,84.8,辦理結案,0
0950561A,說明書,何文淵,新北市,0960430,經濟部,高樓建築,公尺,,0951109,有條件通過環境影響評估,台灣電力股份有限公司,0961129,84.8,辦理結案,0
0950554A,說明書,何文淵,新北市,0960430,經濟部,高樓建築,公尺,,0951109,有條件通過環境影響評估,台灣電力股份有限公司,0961129,84.8,辦理結案,0
0950534A,說明書,何文淵,新北市,0960430,經濟部,高樓建築,公尺,,0951109,有條件通過環境影響評估,台灣電力股份有限公司,0961129,84.8,辦理結案,0
0950523A,說明書,何文淵,新北市,0960430,經濟部,高樓建築,公尺,,0951109,有條件通過環境影響評估,台灣電力股份有限公司,0961129,84.8,辦理結案,0
0950513A,說明書,何文淵,新北市,0960430,經濟部,高樓建築,公尺,,0951109,有條件通過環境影響評估,台灣電力股份有限公司,0961129,84.8,辦理結案,0
0950503A,環境現況差異分析及對策檢討報告,溫育勇,臺東縣,1001221,交通部觀光局,,,本書件為修正本,,審查中,黃金海育樂事業股份有限公司,0960917,0,補正後再審,0
0950493A,變更內容對照表,張瑞芸,桃園縣,0951020,教育部,,,本書件為初稿本,,審核修正通過,新生高級醫事職業學校,0960130,,辦理結案,
0950484A,差異分析報告,孫維謙,花蓮縣,0970118,經濟部,,,,,審核修正通過,建國水泥股份有限公司,0970122,,辦理結案,
0950474A,差異分析報告,孫維謙,花蓮縣,0970118,經濟部,,,,,審核修正通過,建國水泥股份有限公司,0970122,,辦理結案,
0950460A,說明書,張瑞芸,臺灣地區,0960824,交通部,道路之開發,公里,,0951002,有條件通過環境影響評估,交通部臺灣區國道高速公路局,0961022,17.9,辦理結案,17.9
0950451A,說明書,張瑞芸,臺灣地區,0960824,交通部,道路之開發,公里,,0951002,有條件通過環境影響評估,交通部臺灣區國道高速公路局,0961022,17.9,辦理結案,17.9
0950445A,變更內容對照表,謝宏松,新北市,-,,高樓建築,公頃,,,審核修正通過,遠雄建設事業股份有限公司,-,1.216803,,1.216803
0950431A,差異分析報告,呂雅雯,新北市,0960314,交通部,,,,,審核修正通過,交通部國工局,0960917,,辦理結案,
0950424A,差異分析報告,呂雅雯,新北市,0960314,交通部,,,,,審核修正通過,交通部國工局,0960917,,辦理結案,
0950413A,變更內容對照表,張瑞芸,彰化縣,0951020,經濟部能源局，經濟部工業局,,,,,審核修正通過,鹿威風力股份有限公司,0960130,,辦理結案,
0950401A,變更內容對照表,謝宏松,新北市,-,,高樓建築,公頃,,,審核修正通過,宸泰建設股份有限公司,-,0,,0
0950393A,差異分析報告,張瑞芸,臺灣地區,0950926,行政院農業委員會,,,申請撤回,,其他,行政院農業委員會畜產試驗所新竹分所,-,,辦理結案,
0950384A,差異分析報告,張瑞芸,臺灣地區,0950926,行政院農業委員會,,,申請撤回,,其他,行政院農業委員會畜產試驗所新竹分所,-,,辦理結案,
0950373A,差異分析報告,張瑞芸,臺灣地區,0950926,行政院農業委員會,,,申請撤回,,其他,行政院農業委員會畜產試驗所新竹分所,-,,辦理結案,
0950364A,差異分析報告,張瑞芸,臺灣地區,0950926,行政院農業委員會,,,申請撤回,,其他,行政院農業委員會畜產試驗所新竹分所,-,,辦理結案,
0950354B,差異分析報告,張瑞芸,臺灣地區,0950926,行政院農業委員會,,,申請撤回,,其他,行政院農業委員會畜產試驗所新竹分所,-,,辦理結案,
0950344B,差異分析報告,張瑞芸,臺灣地區,0950926,行政院農業委員會,,,申請撤回,,其他,行政院農業委員會畜產試驗所新竹分所,-,,辦理結案,
0950343A,差異分析報告,,新北市,-,,高樓建築,平方公尺,,,審核修正通過,日勝生活科技股份有限公司,-,92560.7,,9.25607
0950334A,差異分析報告,,新北市,-,,工廠之設立,公頃,定稿本,,審核修正通過,東雲股份有限公司,-,0,,3.4149
0950334B,變更內容對照表,,新北市,-,,新市區建設,公頃,定稿本,,審核修正通過,雄建股份有限公司,-,0,,0
0950324B,變更內容對照表,,新北市,-,,新市區建設,公頃,定稿本,,審核修正通過,雄建股份有限公司,-,0,,0
0950323A,說明書,烏曉天,新竹縣,0951130,交通部觀光局,觀光(休閒)飯店、旅(賓)館,公尺,,0950911,有條件通過環境影響評估,承恩建設股份有限公司,0960130,89.95,辦理結案,0.9
0950313A,說明書,烏曉天,新竹縣,0951130,交通部觀光局,觀光(休閒)飯店、旅(賓)館,公尺,,0950911,有條件通過環境影響評估,承恩建設股份有限公司,0960130,89.95,辦理結案,0.9
0950313B,說明書,張瑞芸,苗栗縣,0951026,經濟部能源局,核能及其他能源之開發,瓩,,0950731,有條件通過環境影響評估,東和鋼鐵企業股份有限公司,0960130,10000,辦理結案,0
0950303A,差異分析報告,,新北市,-,,新市區建設,公頃,定稿本,,其他,福頂建設股份有限公司,-,0,,0
0950303B,差異分析報告,,新北市,-,,新市區建設,公頃,定稿本,,其他,福頂建設股份有限公司,-,0,,0
0950294B,評估報告書,孫維謙,嘉義縣,0961115,交通部,港灣之開發,公頃,,0950731,有條件通過環境影響評估,臺灣港務股份有限公司,0961220,1815.73,辦理結案,1815.73
0950291A,說明書,謝宏松,新北市,-,,核能及其他能源之開發,公頃,,,有條件通過環境影響評估,臺灣電力公司,-,0,,0
0950284B,說明書,,新北市,-,,新市區建設,公頃,定稿本,,有條件通過環境影響評估,齊裕建設股份有限公司,-,0,,0
0950274B,說明書,,新北市,-,,新市區建設,公頃,定稿本,,有條件通過環境影響評估,齊裕建設股份有限公司,-,0,,0
0950271A,說明書,,新北市,-,,新市區建設,公頃,定稿本,,有條件通過環境影響評估,齊裕建設股份有限公司,-,0,,0
0950264B,說明書,,新北市,-,,新市區建設,公頃,定稿本,,有條件通過環境影響評估,齊裕建設股份有限公司,-,0,,0
0950261A,說明書,,新北市,-,,新市區建設,公頃,定稿本,,有條件通過環境影響評估,齊裕建設股份有限公司,-,0,,0
0950251A,說明書,,新北市,-,,新市區建設,公頃,定稿本,,有條件通過環境影響評估,齊裕建設股份有限公司,-,0,,0
0950243B,說明書,呂雅雯,宜蘭縣,0960403,行政院國家科學委員會,園區之開發,公頃,,0950714,有條件通過環境影響評估,科學工業園區管理局,0960917,70.63,辦理結案,70.63
0950242A,說明書,何文淵,宜蘭縣,0960424,行政院國家科學委員會,園區之開發,公頃,,0950614,有條件通過環境影響評估,科學工業園區管理局,0961001,31.8,辦理結案,31.8
0950231A,說明書,謝宏松,新北市,-,,高樓建築,平方公尺,定稿本,,有條件通過環境影響評估,遠雄建設股份有限公司,-,12520.95,,1.252095
0950231B,說明書,謝宏松,新北市,-,,高樓建築,平方公尺,定稿本,,有條件通過環境影響評估,遠雄建設股份有限公司,-,12520.95,,1.252095
0950223B,說明書,張瑞芸,桃園縣,0960301,行政院國家科學委員會,園區之開發,公頃,,0950412,有條件通過環境影響評估,科學工業園區管理局,0960326,106.943,辦理結案,106.943
0950211B,說明書,張瑞芸,桃園縣,0960301,行政院國家科學委員會,園區之開發,公頃,,0950412,有條件通過環境影響評估,科學工業園區管理局,0960326,106.943,辦理結案,106.943
0950201A,說明書,張瑞芸,桃園縣,0960314,經濟部,核能及其他能源之開發,公頃,,0950426,有條件通過環境影響評估,中國石油股份有限公司,0960917,25.8,辦理結案,25.8
0950201B,說明書,,新北市,-,,高樓建築,平方公尺,,,退件/撤銷,幼華建設股份有限公司,-,1576,,0
0950191A,說明書,,新北市,-,,高樓建築,平方公尺,,,退件/撤銷,幼華建設股份有限公司,-,1576,,0
0950191B,說明書,張瑞芸,臺灣地區,0960307,經濟部,工廠之設立,公頃,,0950425,有條件通過環境影響評估,中國石油股份有限公司,0960917,19.1,辦理結案,19.1
0950181A,說明書,呂雅雯,雲林縣,0961107,經濟部工業局,工廠之設立,公頃,,0950412,應繼續進行第二階段環境影響評估,台塑鋼鐵股份有限公司籌備處,0961129,629.9105,辦理結案,629.9105
0950181B,差異分析報告,姜樹成,臺中市,-,教育部,,,,,審核修正通過,中國醫藥大學,-,0,辦理結案,0
0950173B,差異分析報告,姜樹成,臺中市,-,教育部,,,,,審核修正通過,中國醫藥大學,-,0,辦理結案,0
0950171A,差異分析報告,姜樹成,臺中市,-,教育部,,,,,審核修正通過,中國醫藥大學,-,0,辦理結案,0
0950163B,差異分析報告,姜樹成,臺中市,-,教育部,,,,,審核修正通過,中國醫藥大學,-,0,辦理結案,0
0950161A,差異分析報告,姜樹成,臺中市,-,教育部,,,,,審核修正通過,中國醫藥大學,-,0,辦理結案,0
0950151A,差異分析報告,姜樹成,臺中市,-,教育部,,,,,審核修正通過,中國醫藥大學,-,0,辦理結案,0
0950151B,說明書,張同婉,高雄市,0950512,經濟部,工廠之設立,公頃,,0950411,有條件通過環境影響評估,台灣中油股份有限公司,0960130,0.25,辦理結案,0.25
0950141A,變更內容對照表,姜樹成,臺中市,0950706,都發局,,,定稿本,0950101,審核修正通過,中國醫藥大學附設醫院,-,0,辦理結案,0
0950134T,說明書,張同婉,臺南市,0950830,國防部,軍事、海防營區、飛彈試射場、靶場或雷達站,公頃,,0950324,有條件通過環境影響評估,國防部陸軍司令部工兵處,0960917,97.010413,辦理結案,97.010413
0950131A,說明書,張同婉,臺南市,0950830,國防部,軍事、海防營區、飛彈試射場、靶場或雷達站,公頃,,0950324,有條件通過環境影響評估,國防部陸軍司令部工兵處,0960917,97.010413,辦理結案,97.010413
0950131B,說明書,謝宏松,新北市,-,,環境保護工程之興建,平方公尺,定稿本,,有條件通過環境影響評估,臺北縣三重市公所,-,36905.71,,0
0950123T,說明書,謝宏松,新北市,-,,環境保護工程之興建,平方公尺,定稿本,,有條件通過環境影響評估,臺北縣三重市公所,-,36905.71,,0
0950121A,差異分析報告,鄧淞駿,臺北市,-,,,,,,審查中,士林電機廠股份有限公司,-,,,
0950121B,說明書,孫維謙,宜蘭縣,0950525,交通部觀光局,觀光(休閒)飯店、旅(賓)館,公頃,,0950321,有條件通過環境影響評估,楓林興業股份有限公司,0950713,1.8396,辦理結案,1.8396
0950114T,說明書,孫維謙,宜蘭縣,0950525,交通部觀光局,觀光(休閒)飯店、旅(賓)館,公頃,,0950321,有條件通過環境影響評估,楓林興業股份有限公司,0950713,1.8396,辦理結案,1.8396
0950111A,說明書,曾文慧,新竹市,-,新竹市政府觀光處,觀光(休閒)飯店、旅(賓)館,平方公尺,,,有條件通過環境影響評估,鄭建宏,-,1330,辦理結案,0.133
0950111B,差異分析報告,吳俊達,臺北市,-,建管處,,,,,審核修正通過,太子建設開發股份有限公司,-,0,辦理結案,0
0950103B,說明書,曾文慧,新竹市,-,新竹市政府,新市區建設,平方公尺,,,有條件通過環境影響評估,新竹市政府,-,94376,辦理結案,9.4376
0950101A,說明書,曾文慧,新竹市,-,新竹市政府,新市區建設,平方公尺,,,有條件通過環境影響評估,新竹市政府,-,94376,辦理結案,9.4376
0950101S,說明書,曾文慧,新竹市,-,新竹市政府,新市區建設,平方公尺,,,有條件通過環境影響評估,新竹市政府,-,94376,辦理結案,9.4376
0950101T,說明書,曾文慧,新竹市,-,新竹市政府,新市區建設,平方公尺,,,有條件通過環境影響評估,新竹市政府,-,94376,辦理結案,9.4376
0950093B,說明書,曾文慧,新竹市,-,新竹市政府,新市區建設,平方公尺,,,有條件通過環境影響評估,新竹市政府,-,94376,辦理結案,9.4376
0950093W,說明書,曾文慧,新竹市,-,新竹市政府,新市區建設,平方公尺,,,有條件通過環境影響評估,新竹市政府,-,94376,辦理結案,9.4376
0950091A,說明書,姜樹成,臺中市,-,,,,定稿本,,有條件通過環境影響評估,佳茂建設股份有限公司,-,0,,0
0950091S,說明書,張同婉,彰化縣,0950807,行政院農業委員會漁業署,港灣之開發,公頃,,0950307,有條件通過環境影響評估,彰化縣政府,0951228,12.43276,辦理結案,12.43276
0950091T,說明書,謝宏松,新北市,-,,工廠變更用地作為非工廠開發使用,平方公尺,定稿本,,有條件通過環境影響評估,良機實業股份有限公司,-,13417,,1.3306
0950083W,說明書,謝宏松,新北市,-,,工廠變更用地作為非工廠開發使用,平方公尺,定稿本,,有條件通過環境影響評估,良機實業股份有限公司,-,13417,,1.3306
0950081A,說明書,曾文慧,新竹市,-,新竹市政府,新市區建設,平方公尺,,,有條件通過環境影響評估,新竹市東區昇湖自辦農村社區土地重劃會,-,46636,辦理結案,4.6636
0950081S,說明書,曾文慧,新竹市,-,新竹市政府,新市區建設,平方公尺,,,有條件通過環境影響評估,新竹市東區昇湖自辦農村社區土地重劃會,-,46636,辦理結案,4.6636
0950081T,說明書,呂雅雯,臺灣地區,0960920,經濟部礦務局,探礦、採礦,公頃,,0950317,認定不應開發,雙喜礦業股份有限公司,0961022,2.5985,辦理結案,2.5985
0950073W,說明書,謝宏松,新北市,-,,高樓建築,平方公尺,定稿本,,有條件通過環境影響評估,華鼎建設開發股份有限公司,-,2677.71,,0
0950071A,說明書,謝宏松,新北市,-,,高樓建築,平方公尺,定稿本,,有條件通過環境影響評估,華鼎建設開發股份有限公司,-,2677.71,,0
0950071B,說明書,周韋儒,桃園縣,-,桃園縣政府,新市區建設,公頃,1.本案係103年補傳之資料，繳費日期以登記在案之第一次提案審查日期。2.本案歷次審查會議紀錄詳見書件目錄A12。,0940110,有條件通過環境影響評估,廖木清,-,18.9502,辦理結案,18.9502
0950071S,說明書,曾文慧,新竹市,-,新竹市政府,新市區建設,平方公尺,,,有條件通過環境影響評估,昌益建設股份有限公司,-,34656,辦理結案,3.4656
0950071T,變更內容對照表,林芳津,苗栗縣,-,,,,,,審查中,"苗栗縣政府
裕鼎股份有限公司",-,,,
0950061A,變更內容對照表,林芳津,苗栗縣,-,,,,,,審查中,"苗栗縣政府
裕鼎股份有限公司",-,,,
0950061B,變更內容對照表,林芳津,苗栗縣,-,,,,,,審查中,"苗栗縣政府
裕鼎股份有限公司",-,,,
0950061S,變更內容對照表,林芳津,苗栗縣,-,,,,,,審查中,"苗栗縣政府
裕鼎股份有限公司",-,,,
0950061W,變更內容對照表,林芳津,苗栗縣,-,,,,,,審查中,"苗栗縣政府
裕鼎股份有限公司",-,,,
0950051A,變更內容對照表,林芳津,苗栗縣,-,,,,,,審查中,"苗栗縣政府
裕鼎股份有限公司",-,,,
0950051B,差異分析報告,姜樹成,臺中市,-,都發局,,,定稿本,,審核修正通過,興富發建設顧份有限公司,-,0,辦理結案,0
0950051D,說明書,,新北市,-,,高樓建築,平方公尺,,,有條件通過環境影響評估,聲寶股份有限公司,-,8575,,0
0950051F,說明書,周韋儒,桃園縣,-,桃園縣政府,公墓興建或擴建工程,公頃,1.本案係103年補傳之資料，繳費日期以登記在案之第一次提案審查日期。2.本案通過審查會議紀錄詳見書件目錄C00。,0950406,有條件通過環境影響評估,桃園縣蘆竹鄉公所,-,10.3,辦理結案,10.3
0950051S,說明書,周韋儒,桃園縣,-,桃園縣政府,公墓興建或擴建工程,公頃,1.本案係103年補傳之資料，繳費日期以登記在案之第一次提案審查日期。2.本案通過審查會議紀錄詳見書件目錄C00。,0950406,有條件通過環境影響評估,桃園縣蘆竹鄉公所,-,10.3,辦理結案,10.3
0950051T,說明書,蘇君紋,臺中縣,-,臺中縣政府民政處,文教建設之開發,公頃,,0950928,有條件通過環境影響評估,大願寺,0951109,1.9117,辦理結案,1.9117
0950044F,說明書,蘇君紋,臺中縣,-,臺中縣政府民政處,文教建設之開發,公頃,,0950928,有條件通過環境影響評估,大願寺,0951109,1.9117,辦理結案,1.9117
0950043T,變更內容對照表,林芳津,苗栗縣,-,,,,,,審查中,博大開發工程顧問有限公司,-,,,
0950041A,變更內容對照表,施明聰,屏東縣,-,建設局,,,,0940101,審核修正通過,台灣省自來水股份有限公司,-,0,完成審查,0
0950041B,變更內容對照表,施明聰,屏東縣,-,建設局,,,,0940101,審核修正通過,台灣省自來水股份有限公司,-,0,完成審查,0
0950041D,說明書,張瑞芸,新北市,-,交通部觀光局,觀光(休閒)飯店、旅(賓)館,,,0950302,退件/撤銷,福隆貝悅大飯店股份有限公司,-,0,辦理結案,0
0950041G,說明書,薛富美,宜蘭縣,0941031,,土石採取,公頃,,,有條件通過環境影響評估,禮展企業有限公司,-,2.7293,辦理結案,2.7293
0950041M,說明書,吳銘彬,高雄市,0950117,,文教建設之開發,,,,有條件通過環境影響評估,諦願寺,-,0,辦理結案,9.5016
0950041R,說明書,吳銘彬,高雄市,0950117,,文教建設之開發,,,,有條件通過環境影響評估,諦願寺,-,0,辦理結案,9.5016
0950041S,說明書,吳銘彬,高雄市,0950117,,文教建設之開發,,,,有條件通過環境影響評估,諦願寺,-,0,辦理結案,9.5016
0950041W,說明書,吳銘彬,高雄市,0950117,,文教建設之開發,,,,有條件通過環境影響評估,諦願寺,-,0,辦理結案,9.5016
0950034D,說明書,吳銘彬,高雄市,0950117,,文教建設之開發,,,,有條件通過環境影響評估,諦願寺,-,0,辦理結案,9.5016
0950034F,說明書,吳銘彬,高雄市,0950117,,文教建設之開發,,,,有條件通過環境影響評估,諦願寺,-,0,辦理結案,9.5016
0950034N,說明書,莊惠如,基隆市,-,基隆市政府都市發展處,新市區建設,平方公尺,,0950524,有條件通過環境影響評估,松府建設股份有限公司,0950720,10657.74,辦理結案,1.065774
0950031A,說明書,姜樹成,臺中市,-,臺中市政府,公墓興建或擴建工程,,定稿本,,有條件通過環境影響評估,台灣福籠興業股份有限公司,-,14.418803,辦理結案,14.418803
0950031B,說明書,鄧淞駿,臺北市,-,臺北市建築管理處,高樓建築,,,0951002,有條件通過環境影響評估,首泰建設股份有限公司,0970128,0,辦理結案,0.216
0950031C,說明書,鄧淞駿,臺北市,-,臺北市建築管理處,高樓建築,,,0951002,有條件通過環境影響評估,首泰建設股份有限公司,0970128,0,辦理結案,0.216
0950031G,變更內容對照表,林芳津,苗栗縣,-,,,,,,審查中,日南紡織股份有限公司,-,,,
0950031M,變更內容對照表,林芳津,苗栗縣,-,,,,,,審查中,日南紡織股份有限公司,-,,,
0950031R,說明書,薛富美,宜蘭縣,0941229,宜蘭縣政府地政處,其他開發行為,公頃,,,有條件通過環境影響評估,惠琮建築開發有限公司,-,7.8532,辦理結案,7.8532
0950031S,說明書,蘇君紋,臺中縣,-,臺中縣政府建設處,工廠之設立,公頃,,0951214,有條件通過環境影響評估,輔祥實業股份有限公司,0951207,5.802261,辦理結案,5.802261
0950031T,說明書,蘇君紋,臺中縣,-,臺中縣政府建設處,工廠之設立,公頃,,0951214,有條件通過環境影響評估,輔祥實業股份有限公司,0951207,5.802261,辦理結案,5.802261
0950031W,說明書,吳銘彬,高雄市,0950314,,觀光(休閒)飯店、旅(賓)館,,,,有條件通過環境影響評估,王明子,-,0,辦理結案,0.998155
0950024F,說明書,莊惠如,基隆市,-,基隆市政府都市發展處,新市區建設,公頃,,0950606,有條件通過環境影響評估,欣偉傑建設股份有限公司,0950707,0.2876,辦理結案,0.2876
0950023D,說明書,黃富美,臺中市,-,,,,,,有條件通過環境影響評估,弘勝興業股份有限公司,-,0,,0
0950023L,說明書,黃富美,臺中市,-,,,,,,有條件通過環境影響評估,弘勝興業股份有限公司,-,0,,0
0950023W,說明書,黃富美,臺中市,-,,,,,,有條件通過環境影響評估,弘勝興業股份有限公司,-,0,,0
0950021A,說明書,黃富美,臺中市,-,,,,,,有條件通過環境影響評估,弘勝興業股份有限公司,-,0,,0
0950021B,說明書,黃富美,臺中市,-,,,,,,有條件通過環境影響評估,弘勝興業股份有限公司,-,0,,0
0950021C,說明書,黃富美,臺中市,-,,,,,,有條件通過環境影響評估,弘勝興業股份有限公司,-,0,,0
0950021G,說明書,郭進興,高雄市,-,,,,,,有條件通過環境影響評估,行政院體育委員會高雄市政府工務局新建工程處,0950609,0,,0
0950021M,差異分析報告,周韋儒,桃園縣,-,桃園縣政府,,,,,審核修正通過,菩提山事業有限公司及江朝宗,-,0,完成審查,0
0950021N,差異分析報告,李建緯,高雄市,-,,,,,,審核修正通過,建台水泥股份有限公司,-,0,辦理結案,0
0950021R,差異分析報告,李建緯,高雄市,-,,,,,,審核修正通過,建台水泥股份有限公司,-,0,辦理結案,0
0950021S,說明書,張同婉,宜蘭縣,0950315,交通部觀光局,遊樂區之開發,公頃,,0950207,認定不應開發,宜蘭縣政府,0950327,40.52,辦理結案,40.52
0950021T,說明書,張同婉,宜蘭縣,0950315,交通部觀光局,遊樂區之開發,公頃,,0950207,認定不應開發,宜蘭縣政府,0950327,40.52,辦理結案,40.52
0950021X,說明書,張秀靜,南投縣,0950407,南投縣政府觀光處,觀光(休閒)飯店、旅(賓)館,公頃,,0950113,有條件通過環境影響評估,廖松舜先生,-,2.784,辦理結案,2.784
0950014E,說明書,陳義昇,臺南市,0960426,臺南市政府,殯儀館、骨灰(骸)存放設施,公頃,,0951019,有條件通過環境影響評估,臺南市東山區公所,0960906,4.7275,辦理結案,4.7275
0950013D,說明書,陳義昇,臺南市,0960426,臺南市政府,殯儀館、骨灰(骸)存放設施,公頃,,0951019,有條件通過環境影響評估,臺南市東山區公所,0960906,4.7275,辦理結案,4.7275
0950013X,說明書,吳銘彬,高雄市,0950117,,觀光(休閒)飯店、旅(賓)館,,,,有條件通過環境影響評估,嘉寶溫泉渡假村,-,0,辦理結案,1.093744
0950011A,說明書,蔣炳釧,臺東縣,0970615,台東縣政府城鄉處城管科,觀光(休閒)飯店、旅(賓)館,公頃,,,有條件通過環境影響評估,美麗灣渡假村股份有限公司,-,5.9956,辦理結案,5.9956
0950011B,說明書,曾文慧,新竹市,0951123,,新市區建設,公頃,,,有條件通過環境影響評估,新竹市政府,0960313,327.26,初審中,327.26
0950011C,說明書,曾文慧,新竹市,0951123,,新市區建設,公頃,,,有條件通過環境影響評估,新竹市政府,0960313,327.26,初審中,327.26
0950011F,說明書,曾文慧,新竹市,0951123,,新市區建設,公頃,,,有條件通過環境影響評估,新竹市政府,0960313,327.26,初審中,327.26
0950011G,說明書,曾文慧,新竹市,0951123,,新市區建設,公頃,,,有條件通過環境影響評估,新竹市政府,0960313,327.26,初審中,327.26
0950011H,說明書,曾文慧,新竹市,0951123,,新市區建設,公頃,,,有條件通過環境影響評估,新竹市政府,0960313,327.26,初審中,327.26
0950011I,說明書,曾文慧,新竹市,0951123,,新市區建設,公頃,,,有條件通過環境影響評估,新竹市政府,0960313,327.26,初審中,327.26
0950011L,說明書,黃富美,臺中市,-,,,,,,有條件通過環境影響評估,賴茂州,-,0,,0
0950011M,說明書,郭殷碩,臺南市,0950420,臺南市政府,環境保護工程之興建,公噸,,0941103,有條件通過環境影響評估,臺南市政府水利局,-,93000,辦理結案,8.22
0950011N,說明書,吳俊達,臺北市,-,臺北市政府建築管理處,高樓建築,,,0940111,有條件通過環境影響評估,金永基股份有限公司,-,0,辦理結案,0
0950011O,說明書,吳俊達,臺北市,-,臺北市政府建築管理處,高樓建築,,,0940111,有條件通過環境影響評估,金永基股份有限公司,-,0,辦理結案,0
0950011R,變更內容對照表,陳垠廷,桃園縣,-,經濟部能源局,,,因資料缺漏，故繳費日期僅供參考,0940101,審核修正通過,長生電力股份有限公司,-,0,辦理結案,0
0950011S,變更內容對照表,陳垠廷,桃園縣,-,經濟部能源局,,,因資料缺漏，故繳費日期僅供參考,0940101,審核修正通過,長生電力股份有限公司,-,0,辦理結案,0
0950011T,其他 (環調),黃俊哲,臺灣本島,-,交通部,,,,,審核修正通過,交通部高速鐵路工程局台灣高速鐵路股份有限公司,-,0,辦理結案,0
0950011U,變更內容對照表,,屏東縣,-,,,,,,審核修正通過,屏東縣政府,-,0,辦理結案,0
0950011V,變更內容對照表,,屏東縣,-,,,,,,審核修正通過,屏東縣政府,-,0,辦理結案,0
0950011W,變更內容對照表,林佳瑋,新北市,-,交通部,,,,,審核修正通過,交通部公路總局,-,0,辦理結案,0
0942164A,變更內容對照表,林佳瑋,新北市,-,經濟部,,,,,審核修正通過,台灣電力股份有限公司,-,0,辦理結案,0
0942154A,差異分析報告,,苗栗縣,-,教育部,,,,,審核修正通過,苗栗育達商業技術學院、苗栗造橋學園社區,-,0,辦理結案,0
0942144A,差異分析報告,,苗栗縣,-,教育部,,,,,審核修正通過,苗栗育達商業技術學院、苗栗造橋學園社區,-,0,辦理結案,0
0942134A,差異分析報告,,苗栗縣,-,教育部,,,,,審核修正通過,苗栗育達商業技術學院、苗栗造橋學園社區,-,0,辦理結案,0
0942123A,差異分析報告,,苗栗縣,-,教育部,,,,,審核修正通過,苗栗育達商業技術學院、苗栗造橋學園社區,-,0,辦理結案,0
0942114A,差異分析報告,,苗栗縣,-,教育部,,,,,審核修正通過,苗栗育達商業技術學院、苗栗造橋學園社區,-,0,辦理結案,0
0942108A,差異分析報告,,苗栗縣,-,教育部,,,,,審核修正通過,苗栗育達商業技術學院、苗栗造橋學園社區,-,0,辦理結案,0
0942094A,變更內容對照表,孫維謙,花蓮縣,-,經濟部,,,,,審核修正通過,台灣水泥股份有限公司和平分公司,-,0,辦理結案,0
0942084A,變更內容對照表,,宜蘭縣,-,,,,,,審核修正通過,行政院環境保護署,-,0,辦理結案,0
0942074A,差異分析報告,方偉達,臺中市,-,內政部,,,,,審核修正通過,財團法人中華民國佛教慈濟慈善事業基金會,-,0,辦理結案,0
